;Train-Train;Train-Test;Test-Test
non-zero images;99984,000000;9995,000000;10000,000000
Mean Distance;22,856565;22,848789;24,079281
Minimal Distance;0,011049;0,011049;8,093599
2th;0,011049;0,022097;8,093599
3th;0,015625;6,350674;8,429568
4th;0,015625;6,624300;8,530276
5th;0,020670;7,117457;8,530276
6th;0,020670;7,325855;8,551744
7th;0,022097;7,727222;8,814135
8th;0,022097;7,756015;9,233252
9th;0,022097;7,846737;9,252955
10th;0,022097;8,243369;9,590110
11th;0,031250;8,251302;10,160336
12th;0,031250;8,375029;10,160336
13th;0,031250;8,447043;10,179013
14th;0,031250;8,572018;10,186829
15th;0,031250;8,736485;10,201343
16th;0,031250;8,803477;10,315009
17th;0,031250;8,805516;10,424674
18th;0,031250;8,824322;10,424674
19th;0,044194;8,855309;10,580883
20th;0,044194;8,913320;10,675752
21th;0,044194;8,935506;10,806018
22th;0,044194;9,030216;10,806018
23th;0,044194;9,178780;10,849489
24th;0,044194;9,226162;10,940056
25th;5,221813;9,350776;11,014793
26th;5,221813;9,363899;11,111693
27th;5,288041;9,375977;11,146420
28th;6,420316;9,386113;11,146420
29th;6,458878;9,414760;11,216242
30th;6,458878;9,454454;11,216242
31th;6,605071;9,461077;11,256790
32th;6,628463;9,576656;11,319706
33th;6,628463;9,582063;11,319706
34th;6,745505;9,712255;11,369483
35th;6,745505;9,800254;11,410872
36th;6,823726;9,802841;11,575099
37th;6,878976;9,859363;11,673244
38th;7,165183;9,870376;11,678159
39th;7,165183;9,899347;11,693212
40th;7,274809;9,917277;11,735987
41th;7,274809;9,974235;11,738047
42th;7,355642;10,020219;11,741727
43th;7,356306;10,034925;11,741727
44th;7,462635;10,068079;11,832180
45th;7,501823;10,230187;11,866980
46th;7,540904;10,255167;12,009212
47th;7,555685;10,271557;12,027678
48th;7,743084;10,301723;12,044494
49th;7,803714;10,370551;12,079590
50th;7,828234;10,449820;12,117628
51th;7,828234;10,452272;12,188352
52th;7,843781;10,465625;12,228417
53th;7,848013;10,492196;12,296230
54th;7,848013;10,573773;12,319081
55th;7,867824;10,587687;12,365804
56th;7,884759;10,631156;12,379507
57th;7,884759;10,672504;12,404794
58th;7,886710;10,686975;12,404794
59th;7,946415;10,707218;12,410599
60th;7,946415;10,707857;12,418086
61th;7,953545;10,721437;12,443858
62th;7,953545;10,765568;12,443858
63th;8,022551;10,772936;12,506248
64th;8,061410;10,834673;12,510919
65th;8,082477;10,854281;12,510919
66th;8,082611;10,881546;12,643551
67th;8,152417;10,938080;12,651250
68th;8,161915;10,939107;12,651250
69th;8,173384;10,942376;12,686673
70th;8,180661;10,986241;12,739004
71th;8,206114;11,144829;12,751455
72th;8,214683;11,147384;12,759447
73th;8,214947;11,200717;12,783284
74th;8,227449;11,222754;12,788996
75th;8,227449;11,292310;12,799689
76th;8,240732;11,307695;12,812366
77th;8,243820;11,315737;12,819224
78th;8,243820;11,323501;12,863789
79th;8,278359;11,329967;12,913511
80th;8,281427;11,371651;12,929939
81th;8,303625;11,379587;12,977369
82th;8,315557;11,385869;12,980350
83th;8,315557;11,420945;12,987017
84th;8,361419;11,460888;13,003492
85th;8,366845;11,475986;13,004000
86th;8,397300;11,520004;13,006609
87th;8,397300;11,558818;13,006609
88th;8,405553;11,565097;13,008561
89th;8,436458;11,612792;13,008561
90th;8,473746;11,614947;13,024804
91th;8,473758;11,654783;13,036420
92th;8,483206;11,715875;13,068096
93th;8,494570;11,758183;13,075203
94th;8,494570;11,758640;13,089312
95th;8,507006;11,769640;13,125242
96th;8,509244;11,793946;13,136527
97th;8,509244;11,794298;13,138164
98th;8,511997;11,824151;13,148166
99th;8,540574;11,827947;13,194940
100th;8,540717;11,878536;13,220430
