;Train-Train;Train-Test;Test-Test
non-zero images;50000,000000;10000,000000;10000,000000
Mean Distance;401,902313;401,196228;423,353058
Minimal Distance;65,866592;70,094070;130,768631
2nd;65,866592;96,337250;130,768631
3rd;103,623528;101,003937;133,705887
4th;103,623528;106,729408;137,427460
5th;103,854904;113,796074;137,427460
6th;103,854904;114,266663;137,541199
7th;113,188232;131,694122;137,541199
8th;113,188232;132,498047;142,231384
9th;113,635345;132,874512;145,976471
10th;113,635345;132,878479;149,823517
