;Train-Train;Train-Test;Test-Test
non-zero images;289,000000;290,000000;290,000000
Mean Distance;343,227844;347,488739;345,250122
Minimal Distance;210,451523;236,151169;232,153778
2nd;210,451523;236,778381;232,153778
3rd;231,823883;245,768188;236,358444
4th;231,823883;248,658401;236,358444
5th;239,141312;250,950317;244,779373
6th;239,717941;253,128922;244,779373
7th;249,803787;253,272949;245,699890
8th;249,803787;253,459442;247,427261
9th;256,704346;262,316376;247,427261
10th;257,802368;262,866760;248,686295
