;Train-Train;Train-Test;Test-Test
non-zero images;30412,000000;7603,000000;7603,000000
Mean Distance;587,481079;587,546631;596,854980
Minimal Distance;409,003082;409,003082;413,003204
2nd;409,003082;412,003174;413,003204
3rd;411,003143;413,003204;418,003357
4th;412,003174;413,003204;418,003357
5th;412,003174;413,003204;418,003357
6th;412,003174;413,003204;418,003357
7th;413,003204;413,003204;418,003357
8th;413,003204;414,003235;418,003357
9th;413,003204;415,003265;418,003357
10th;413,003204;415,003265;419,003387
