;config_535_avg
Standard_Acc;82,9500
RMSCE;0,0861
gaussian_noise;59,3680
shot_noise;64,4200
impulse_noise;70,5300
defocus_blur;77,5700
glass_blur;63,6140
motion_blur;71,0700
zoom_blur;75,2620
snow;71,8280
frost;68,7380
fog;75,6420
brightness;80,9040
contrast;76,4900
elastic_transform;71,9760
pixelate;64,8580
jpeg_compression;57,5460
speckle_noise;65,1800
gaussian_blur;75,7780
spatter;75,5240
saturate;76,2620
blue_noise;66,3960
brownish_noise;41,0520
checkerboard_cutout;69,7240
circular_motion_blur;75,7740
inverse_sparkles;44,9680
lines;55,4060
pinch_and_twirl;76,0300
ripple;57,6780
sparkles;68,4080
transverse_chromatic_abberation;48,1860
Acc_C-all-19;70,6611
Acc_C-original-15;69,9877
Acc_C-bar-10;60,3622
Acc_all-ex-pixelwise-noise-24;67,5120
RMSCE_C;0,0510
Combined_Noise;69,5100
