;Train-Train;Train-Test;Test-Test
non-zero images;21600,000000;5400,000000;5400,000000
Mean Distance;0,282425;0,282974;0,295042
Minimal Distance;0,031373;0,031373;0,035294
2nd;0,031373;0,035294;0,035294
3rd;0,031373;0,035294;0,039216
4th;0,031373;0,035294;0,039216
5th;0,031373;0,035294;0,039216
6th;0,031373;0,035294;0,039216
7th;0,035294;0,035294;0,039216
8th;0,035294;0,035294;0,039216
9th;0,035294;0,035294;0,039216
10th;0,035294;0,035294;0,039216
