;Train-Train;Train-Test;Test-Test
non-zero images;80000,000000;20000,000000;20000,000000
Mean Distance;469,771790;471,902954;493,056763
Minimal Distance;26,537300;34,208500;38,941959
2th;26,537300;34,461166;38,941959
3th;26,563892;35,772713;40,072491
4th;26,563892;36,124710;40,072491
5th;31,219828;36,423046;40,700573
6th;31,861801;36,803207;40,700573
7th;32,075974;37,003082;41,358086
8th;32,075974;37,405945;41,358086
9th;32,312923;37,433151;42,837753
10th;32,588089;37,907982;43,687233
11th;32,588089;38,141224;43,687233
12th;33,334949;38,187489;43,981743
13th;33,918457;38,247875;43,981743
14th;34,011353;38,602455;44,418957
15th;34,011353;38,691666;44,418957
16th;34,047794;39,175049;44,733646
17th;34,047794;39,365517;44,807335
18th;34,079990;39,727936;44,845871
19th;34,814907;39,757851;44,845871
20th;34,814907;39,818192;45,290146
21th;35,220879;39,963726;45,290146
22th;35,220879;40,166607;45,446892
23th;35,582996;40,557274;45,446892
24th;35,582996;40,772713;45,587898
25th;35,685696;40,863552;45,857567
26th;35,685696;41,011009;45,857567
27th;35,735817;41,056606;45,900352
28th;36,086502;41,162334;45,900352
29th;36,148838;41,230965;46,255150
30th;36,531250;41,266579;46,924351
31th;36,531250;41,289467;46,924351
32th;36,564270;41,406013;47,023766
33th;36,700859;41,659653;47,023766
34th;36,700859;41,909393;47,067272
35th;36,739628;41,927578;47,067272
36th;36,739628;42,105202;47,093628
37th;37,033115;42,259071;47,659088
38th;37,033115;42,335091;47,659088
39th;37,129677;42,336540;47,762650
40th;37,129677;43,126137;47,854237
41th;37,329552;43,236362;47,854237
42th;37,439224;43,346123;47,864353
43th;37,968628;43,466164;48,054707
44th;37,968628;43,472721;48,088284
45th;38,017082;43,487602;48,393517
46th;38,017082;44,007065;48,525219
47th;38,177097;44,075436;48,543549
48th;38,202232;44,212410;48,601845
49th;38,271606;44,297592;48,601845
50th;38,278236;44,612770;48,637943
51th;38,278236;44,613670;48,637943
52th;38,297798;44,617012;48,880829
53th;38,444511;44,689789;48,911537
54th;38,444511;44,882088;48,911537
55th;38,448044;45,106361;49,188301
56th;38,448044;45,126709;49,188301
57th;38,459511;45,131363;49,785904
58th;38,505386;45,205719;49,785904
59th;38,534576;45,324242;49,965340
60th;38,615837;45,458069;49,965340
61th;38,636894;45,472473;50,092442
62th;38,650368;45,532314;50,262665
63th;38,893021;45,599957;50,445347
64th;38,893021;45,710812;50,785885
65th;39,023113;45,718185;50,794350
66th;39,049988;45,774967;50,794350
67th;39,049988;45,929409;50,916859
68th;39,064476;45,992439;51,240673
69th;39,064476;46,003010;51,240673
70th;39,369991;46,143852;51,300774
71th;39,369991;46,279510;51,393768
72th;39,844711;46,323700;51,482185
73th;39,844711;46,325768;51,647125
74th;39,894520;46,344109;51,674862
75th;39,894520;46,372158;51,748577
76th;39,897545;46,532169;51,843414
77th;39,901070;46,539520;51,843414
78th;39,901070;46,587769;51,921444
79th;39,971722;46,759232;51,921444
80th;39,971722;46,769135;52,133556
81th;40,013988;46,856434;52,189201
82th;40,013988;46,879097;52,338249
83th;40,083588;47,137985;52,535828
84th;40,083588;47,142822;52,535828
85th;40,187317;47,161880;52,570728
86th;40,199135;47,289619;52,669243
87th;40,366798;47,317886;52,709106
88th;40,371716;47,322472;52,709106
89th;40,371716;47,381226;53,137722
90th;40,418324;47,382454;53,203190
91th;40,418324;47,402500;53,203190
92th;40,455040;47,410278;53,246361
93th;40,464649;47,456787;53,302750
94th;40,464649;47,510231;53,468872
95th;40,531044;47,519081;53,469372
96th;40,598343;47,560833;53,506191
97th;40,623520;47,709591;53,560974
98th;40,667038;47,780697;53,560974
99th;40,682236;48,248512;53,769440
100th;40,734596;48,258884;53,790695
