train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
49,2140;1,5929;59,8500;1,4277;44,2483;59,8500;44,2483
69,0860;1,1994;68,4300;1,2714;52,2966;68,4300;52,2966
76,5900;1,0472;66,4700;1,3775;48,5517;66,4700;48,5517
80,7300;0,9558;78,9600;1,0187;56,3655;78,9600;56,3655
83,0580;0,9013;80,4600;0,9938;55,0414;80,4600;55,0414
84,9020;0,8591;81,8200;0,9803;58,7172;81,8200;58,7172
86,7680;0,8180;84,2600;0,8924;59,0897;84,2600;59,0897
87,6720;0,7935;83,7100;0,9195;62,4345;83,7100;62,4345
89,1880;0,7609;84,8900;0,8990;57,7103;84,8900;57,7103
90,2820;0,7381;86,3900;0,8433;57,3586;86,3900;57,3586
91,3420;0,7147;88,0100;0,8221;63,5655;88,0100;63,5655
91,9740;0,6961;87,2800;0,8356;61,5517;87,2800;61,5517
92,9660;0,6759;86,8000;0,8421;59,5793;86,8000;59,5793
93,9380;0,6566;89,9300;0,7646;63,8000;89,9300;63,8000
94,5480;0,6433;89,9900;0,7644;63,3310;89,9900;63,3310
95,3320;0,6260;90,4800;0,7458;63,4966;90,4800;63,4966
95,8700;0,6119;91,3000;0,7383;64,9241;91,3000;64,9241
96,4960;0,6011;91,5500;0,7322;64,8069;91,5500;64,8069
96,7640;0,5951;91,4000;0,7391;64,0069;91,4000;64,0069
96,9240;0,5920;91,7300;0,7292;64,8000;91,7300;64,8000
89,8860;0,7427;86,1300;0,8563;62,7172;86,1300;62,7172
90,2660;0,7325;86,3400;0,8687;58,5655;86,3400;58,5655
90,9140;0,7191;87,5000;0,8400;60,0483;87,5000;60,0483
91,4900;0,7075;87,7400;0,8046;59,7586;87,7400;59,7586
92,1160;0,6933;87,7800;0,8276;58,7241;87,7800;58,7241
92,5800;0,6822;88,3600;0,8154;62,6690;88,3600;62,6690
92,8260;0,6748;86,8900;0,8672;56,4000;86,8900;56,4000
93,4760;0,6633;85,7100;0,8771;52,3241;85,7100;52,3241
93,7640;0,6540;88,7900;0,8076;63,3034;88,7900;63,3034
94,1680;0,6456;88,2500;0,8118;59,5724;88,2500;59,5724
94,3960;0,6391;90,1600;0,7693;65,2759;90,1600;65,2759
94,7020;0,6327;90,4800;0,7531;62,3586;90,4800;62,3586
95,1600;0,6225;89,0500;0,7959;63,7172;89,0500;63,7172
95,3220;0,6178;90,4900;0,7552;62,9931;90,4900;62,9931
95,6360;0,6094;89,4700;0,7839;60,2690;89,4700;60,2690
96,0540;0,6018;89,9500;0,7759;62,3793;89,9500;62,3793
96,4100;0,5950;89,7600;0,7830;60,4966;89,7600;60,4966
96,6860;0,5871;90,9600;0,7551;62,6483;90,9600;62,6483
96,7900;0,5828;90,9800;0,7454;60,9172;90,9800;60,9172
97,2100;0,5752;91,5700;0,7320;64,7862;91,5700;64,7862
97,4800;0,5697;91,3900;0,7441;62,1793;91,3900;62,1793
97,7920;0,5607;91,7300;0,7319;62,6759;91,7300;62,6759
97,9640;0,5562;92,0300;0,7289;65,0759;92,0300;65,0759
98,3380;0,5501;91,1700;0,7523;63,0000;91,1700;63,0000
98,5260;0,5443;91,8300;0,7360;62,5103;91,8300;62,5103
98,7360;0,5392;92,5000;0,7182;64,6759;92,5000;64,6759
98,9440;0,5338;92,2800;0,7186;64,2897;92,2800;64,2897
99,0080;0,5322;92,1800;0,7188;64,3517;92,1800;64,3517
99,2800;0,5265;92,0300;0,7358;63,4552;92,0300;63,4552
99,4040;0,5234;92,3700;0,7172;67,2552;92,3700;67,2552
99,4440;0,5212;93,3000;0,6951;65,6069;93,3000;65,6069
99,5960;0,5192;93,0400;0,6980;66,9517;93,0400;66,9517
99,6740;0,5168;92,5800;0,7168;64,5862;92,5800;64,5862
99,7100;0,5158;93,2400;0,6963;65,6207;93,2400;65,6207
99,7300;0,5152;93,0700;0,7099;64,9034;93,0700;64,9034
99,7200;0,5146;93,3900;0,7023;65,7586;93,3900;65,7586
99,7380;0,5142;93,1900;0,7023;65,2483;93,1900;65,2483
99,8080;0,5132;93,1100;0,7067;65,0621;93,1100;65,0621
99,7800;0,5134;93,0800;0,7050;64,9931;93,0800;64,9931
99,7980;0,5131;93,2100;0,7026;65,1586;93,2100;65,1586
94,9300;0,6240;89,0800;0,7775;61,9172;89,0800;61,9172
94,3980;0,6353;87,0500;0,8312;60,0138;87,0500;60,0138
94,6640;0,6291;88,8500;0,7948;61,8759;88,8500;61,8759
94,9880;0,6238;88,4400;0,7807;60,5103;88,4400;60,5103
95,0880;0,6202;88,6500;0,7977;58,9310;88,6500;58,9310
95,4980;0,6119;88,1300;0,8317;61,8621;88,1300;61,8621
95,6960;0,6071;88,4100;0,8044;62,0621;88,4100;62,0621
95,6980;0,6042;89,2100;0,7775;60,8069;89,2100;60,8069
96,0020;0,5993;89,6900;0,7705;63,4621;89,6900;63,4621
96,2480;0,5944;88,8300;0,8015;60,8000;88,8300;60,8000
96,1260;0,5963;91,2000;0,7391;64,7379;91,2000;64,7379
96,3700;0,5908;89,8100;0,7679;64,1862;89,8100;64,1862
96,4100;0,5893;90,0800;0,7666;63,3586;90,0800;63,3586
96,4960;0,5880;90,3400;0,7555;63,4690;90,3400;63,4690
96,7380;0,5823;90,4000;0,7558;63,8621;90,4000;63,8621
96,8360;0,5804;90,1100;0,7728;60,6276;90,1100;60,6276
96,8380;0,5791;90,2600;0,7558;65,1310;90,2600;65,1310
96,9760;0,5772;90,4000;0,7534;63,7586;90,4000;63,7586
97,2380;0,5718;90,0400;0,7617;61,5310;90,0400;61,5310
97,1060;0,5738;90,3400;0,7524;59,4483;90,3400;59,4483
97,4840;0,5662;90,6600;0,7494;61,5793;90,6600;61,5793
97,4400;0,5653;90,4700;0,7644;64,6690;90,4700;64,6690
97,3660;0,5659;91,1400;0,7430;62,3655;91,1400;62,3655
97,4800;0,5628;91,0000;0,7408;59,8345;91,0000;59,8345
97,4400;0,5648;91,5000;0,7319;64,1931;91,5000;64,1931
97,6960;0,5586;89,9800;0,7775;62,9103;89,9800;62,9103
97,9360;0,5567;91,3800;0,7293;62,5034;91,3800;62,5034
97,9560;0,5537;90,6000;0,7504;63,1310;90,6000;63,1310
98,0340;0,5519;91,8100;0,7341;65,8897;91,8100;65,8897
98,0800;0,5509;92,2800;0,7128;67,0207;92,2800;67,0207
