;Train-Train;Train-Test;Test-Test
non-zero images;5984,000000;1497,000000;1497,000000
Mean Distance;291,884277;291,852875;325,762329
Minimal Distance;17,020208;14,682047;18,311541
2nd;17,020208;19,827381;18,311541
3rd;17,956545;20,054613;21,479641
4th;17,993053;20,832666;21,513077
5th;20,229929;22,015619;22,694988
6th;20,434347;22,394196;23,021729
7th;20,656416;23,925667;24,894777
8th;21,072790;24,325912;28,782591
9th;21,572552;28,201286;29,848577
10th;21,904623;29,264954;35,730762
11th;22,009941;35,548382;35,730762
12th;22,744505;40,017185;44,345940
13th;22,793915;44,198418;48,121590
14th;22,793915;45,524033;48,121590
15th;23,660357;47,196400;48,929798
16th;23,666960;49,564350;48,959805
17th;24,197107;49,845387;49,986248
18th;24,746212;52,780205;50,554428
19th;25,416531;54,192944;59,772484
20th;25,823923;56,989582;60,447807
