;Train-Train;Train-Test;Test-Test
non-zero images;5984,000000;1497,000000;1497,000000
Mean Distance;0,964008;0,964335;0,968740
Minimal Distance;0,788292;0,794607;0,876493
2th;0,788292;0,827451;0,876493
3th;0,793086;0,851754;0,886478
4th;0,800510;0,866973;0,891105
5th;0,836886;0,872238;0,898631
6th;0,844682;0,878209;0,898631
7th;0,844682;0,898281;0,898705
8th;0,851255;0,901639;0,901532
9th;0,854784;0,911339;0,913927
10th;0,859906;0,913432;0,924608
11th;0,864548;0,918581;0,927151
12th;0,864571;0,919571;0,929825
13th;0,866789;0,927458;0,940224
14th;0,866789;0,930140;0,941199
15th;0,869016;0,935392;0,946001
16th;0,882202;0,938471;0,946001
17th;0,884008;0,939357;0,946441
18th;0,887476;0,939372;0,946529
19th;0,887476;0,943309;0,946529
20th;0,887798;0,943562;0,948293
21th;0,887798;0,944312;0,948293
22th;0,888021;0,944588;0,948520
23th;0,888264;0,944598;0,948790
24th;0,889563;0,944781;0,948790
25th;0,889563;0,944818;0,948912
26th;0,891631;0,945098;0,948942
27th;0,892496;0,945098;0,949057
28th;0,892958;0,945437;0,949057
29th;0,893091;0,945550;0,949782
30th;0,894178;0,945643;0,949885
31th;0,896264;0,945650;0,950006
32th;0,898252;0,946244;0,950159
33th;0,898958;0,946293;0,950849
34th;0,900436;0,946391;0,950849
35th;0,901488;0,946394;0,951050
36th;0,902163;0,946542;0,951195
37th;0,906627;0,946732;0,951195
38th;0,906631;0,946798;0,951323
39th;0,906631;0,946832;0,951437
40th;0,907174;0,946994;0,951437
41th;0,909128;0,947090;0,951712
42th;0,909471;0,947221;0,952635
43th;0,909471;0,947227;0,952635
44th;0,909678;0,947227;0,952941
45th;0,910442;0,947458;0,952941
46th;0,912576;0,947509;0,952941
47th;0,912688;0,947540;0,953029
48th;0,913603;0,947582;0,953029
49th;0,914630;0,947663;0,953283
50th;0,915978;0,947698;0,953321
51th;0,915978;0,947836;0,953321
52th;0,917984;0,947973;0,953664
53th;0,920250;0,948016;0,953683
54th;0,922410;0,948100;0,953683
55th;0,922807;0,948283;0,953683
56th;0,923376;0,948412;0,953808
57th;0,924932;0,948685;0,953808
58th;0,928089;0,948734;0,954286
59th;0,929751;0,948793;0,954286
60th;0,929779;0,948869;0,954439
61th;0,929824;0,948915;0,954439
62th;0,930450;0,949004;0,954965
63th;0,930450;0,949020;0,954965
64th;0,931065;0,949059;0,955022
65th;0,931179;0,949072;0,955077
66th;0,931257;0,949235;0,955247
67th;0,933186;0,949588;0,955341
68th;0,934019;0,949689;0,955362
69th;0,934019;0,949716;0,955498
70th;0,934019;0,949816;0,955498
71th;0,935465;0,949907;0,955498
72th;0,936029;0,949945;0,955599
73th;0,936029;0,950337;0,955649
74th;0,936031;0,950473;0,956000
75th;0,936031;0,950576;0,956054
76th;0,936191;0,950576;0,956096
77th;0,936398;0,950584;0,956175
78th;0,936468;0,950586;0,956233
79th;0,936511;0,950698;0,956233
80th;0,936511;0,950748;0,956253
81th;0,936620;0,950764;0,956358
82th;0,936620;0,950775;0,956559
83th;0,936642;0,950792;0,956649
84th;0,936664;0,951026;0,956814
85th;0,936707;0,951032;0,956825
86th;0,936729;0,951083;0,956863
87th;0,936751;0,951084;0,956947
88th;0,936816;0,951180;0,957073
89th;0,937035;0,951304;0,957077
90th;0,937035;0,951460;0,957344
91th;0,937409;0,951525;0,957350
92th;0,937409;0,951639;0,957447
93th;0,937525;0,951654;0,957447
94th;0,937591;0,951689;0,957709
95th;0,937591;0,951767;0,957709
96th;0,938456;0,951823;0,957750
97th;0,938935;0,951905;0,957771
98th;0,938935;0,951937;0,957834
99th;0,938957;0,951945;0,957880
100th;0,939100;0,952197;0,957880
