;Train-Train;Train-Test;Test-Test
non-zero images;126603,000000;4995,000000;5000,000000
Mean Distance;0,562378;0,561053;0,671924
Minimal Distance;0,007058;0,055716;0,430844
2th;0,007058;0,352994;0,430844
3th;0,008162;0,355103;0,444881
4th;0,008162;0,355780;0,444881
5th;0,019681;0,367392;0,458958
6th;0,019681;0,368971;0,464801
7th;0,019933;0,371449;0,466976
8th;0,019933;0,372642;0,466976
9th;0,020426;0,372976;0,476608
10th;0,020426;0,381307;0,477980
11th;0,020634;0,383274;0,481042
12th;0,020634;0,385562;0,481042
13th;0,033306;0,386517;0,482766
14th;0,033306;0,389373;0,484655
15th;0,051843;0,390547;0,485931
16th;0,051843;0,392767;0,490827
17th;0,052816;0,394109;0,491820
18th;0,052816;0,395495;0,491820
19th;0,073557;0,396205;0,492383
20th;0,073557;0,397607;0,493397
21th;0,081792;0,399762;0,493440
22th;0,081792;0,400986;0,493440
23th;0,084948;0,403924;0,494142
24th;0,084948;0,405386;0,494847
25th;0,106289;0,405456;0,496351
26th;0,106289;0,408096;0,497888
27th;0,131758;0,408097;0,498309
28th;0,131758;0,408144;0,499764
29th;0,137255;0,411860;0,501525
30th;0,137255;0,412483;0,501860
31th;0,143406;0,412581;0,503895
32th;0,143406;0,413035;0,503895
33th;0,202882;0,414001;0,504919
34th;0,202882;0,414595;0,505018
35th;0,219124;0,414707;0,506248
36th;0,219124;0,414896;0,507024
37th;0,237163;0,415925;0,508779
38th;0,237163;0,416150;0,508779
39th;0,270185;0,419163;0,509553
40th;0,270185;0,420603;0,510554
41th;0,284500;0,420751;0,512021
42th;0,284500;0,421427;0,512033
43th;0,289141;0,421601;0,512054
44th;0,289141;0,421693;0,514879
45th;0,291971;0,422459;0,515292
46th;0,291971;0,423230;0,515292
47th;0,292361;0,423466;0,515582
48th;0,292361;0,424609;0,515658
49th;0,294304;0,424723;0,515708
50th;0,295857;0,424810;0,515918
51th;0,295857;0,426526;0,516582
52th;0,297216;0,427380;0,517065
53th;0,297216;0,428121;0,517125
54th;0,297483;0,428990;0,518739
55th;0,299736;0,429791;0,519101
56th;0,299736;0,429806;0,519561
57th;0,300797;0,430733;0,520511
58th;0,303254;0,432260;0,520774
59th;0,304137;0,432936;0,520838
60th;0,306340;0,433013;0,520838
61th;0,306340;0,433416;0,521366
62th;0,311544;0,433821;0,521366
63th;0,311544;0,433910;0,523194
64th;0,313079;0,434653;0,523290
65th;0,313577;0,434666;0,523471
66th;0,314189;0,434880;0,523471
67th;0,316290;0,436952;0,523943
68th;0,317074;0,438389;0,524996
69th;0,317074;0,440762;0,526897
70th;0,317197;0,440825;0,527370
71th;0,317197;0,441636;0,527438
72th;0,319289;0,442049;0,527546
73th;0,320172;0,442196;0,528658
74th;0,321013;0,442787;0,529114
75th;0,321101;0,443004;0,529114
76th;0,322005;0,443236;0,529330
77th;0,324126;0,443441;0,529790
78th;0,324436;0,443716;0,529790
79th;0,325113;0,444038;0,530968
80th;0,325250;0,444336;0,531797
81th;0,326001;0,444796;0,531822
82th;0,326223;0,445429;0,532565
83th;0,327380;0,445529;0,532712
84th;0,327466;0,445883;0,532960
85th;0,327466;0,446071;0,533038
86th;0,327503;0,446129;0,533082
87th;0,327503;0,446376;0,533262
88th;0,328257;0,446597;0,533271
89th;0,328976;0,447178;0,533665
90th;0,329224;0,447769;0,533804
91th;0,329224;0,448028;0,534099
92th;0,329244;0,448192;0,535034
93th;0,329326;0,448200;0,535634
94th;0,329885;0,448371;0,536448
95th;0,330859;0,448993;0,537291
96th;0,331615;0,449211;0,538306
97th;0,332850;0,449305;0,538484
98th;0,332865;0,449423;0,538990
99th;0,333309;0,449911;0,539155
100th;0,333531;0,450455;0,539834
