;Train-Train;Train-Test;Test-Test
non-zero images;7933,000000;715,000000;715,000000
Mean Distance;12953,964844;12840,187500;14612,482422
Minimal Distance;1877,388306;4430,852539;7679,013672
2nd;1877,388306;4696,388184;7679,013672
3rd;2144,943848;5121,159180;8818,868164
4th;2144,943848;7895,169434;8818,868164
5th;2755,636230;7953,368652;8947,197266
6th;2755,636230;7987,865234;8947,197266
7th;2939,220459;8034,376953;9204,696289
8th;3078,377441;8079,201660;9358,781250
9th;4263,001465;8308,934570;9635,406250
10th;4263,001465;8535,508789;9635,406250
