;config_130_avg
Standard_Acc;59,8750
RMSCE;0,0747
gaussian_noise;40,8000
shot_noise;37,8000
impulse_noise;34,6000
defocus_blur;33,2000
glass_blur;25,8000
motion_blur;46,0000
zoom_blur;33,8000
snow;48,8000
frost;50,8000
fog;48,2000
brightness;47,2000
contrast;25,0000
elastic_transform;54,0000
pixelate;58,6000
jpeg_compression;55,4000
speckle_noise;31,8000
gaussian_blur;26,6000
spatter;43,0000
saturate;43,6000
blue_noise_sample;33,4000
brownish_noise;42,0000
caustic_refraction;30,6000
checkerboard_cutout;30,4000
cocentric_sine_waves;33,8000
inverse_sparkles;25,4000
perlin_noise;50,8000
plasma_noise;20,6000
single_frequency_greyscale;28,4000
sparkles;50,6000
Acc_C-all-19;41,3158
Acc_C-original-15;42,6667
Acc_C-bar-10;34,6000
Acc_all-ex-pixelwise-noise-24;39,6917
RMSCE_C;0,1813
Combined_Noise;51,2850
