train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,7261;4,8165;9,3300;4,5847;4,5655;9,3300;4,5655
13,9487;4,2548;17,8500;4,0310;8,2345;17,8500;8,2345
19,9433;3,9302;20,3900;3,9850;8,0000;20,3900;8,0000
24,6286;3,7197;27,3300;3,7297;12,5724;27,3300;12,5724
28,4303;3,5486;29,7900;3,5228;12,5793;29,7900;12,5793
30,9548;3,4251;32,9100;3,4409;13,2138;32,9100;13,2138
33,5554;3,3247;35,6200;3,2750;14,3586;35,6200;14,3586
35,8895;3,2275;37,3000;3,2176;15,8897;37,3000;15,8897
37,9512;3,1448;38,8200;3,1738;15,7103;38,8200;15,7103
39,9126;3,0658;42,9900;3,0074;18,6276;42,9900;18,6276
41,4293;3,0044;44,6700;2,9370;18,2621;44,6700;18,2621
43,0572;2,9395;46,0700;2,9198;20,0690;46,0700;20,0690
44,6971;2,8841;47,5500;2,8501;20,1586;47,5500;20,1586
45,8211;2,8374;48,1700;2,8198;20,7862;48,1700;20,7862
47,2025;2,7859;49,7300;2,7658;21,9241;49,7300;21,9241
47,9569;2,7513;51,5400;2,7020;23,2828;51,5400;23,2828
49,2442;2,7078;51,7900;2,7019;22,4345;51,7900;22,4345
49,6178;2,6856;52,0200;2,6877;22,4069;52,0200;22,4069
50,2920;2,6681;52,4100;2,6720;23,2138;52,4100;23,2138
50,1668;2,6657;52,8300;2,6648;23,2483;52,8300;23,2483
41,1969;3,0041;44,0800;2,9931;18,7931;44,0800;18,7931
41,7559;2,9917;43,0500;3,0229;16,0138;43,0500;16,0138
42,5363;2,9580;46,7200;2,8952;19,4069;46,7200;19,4069
43,4900;2,9190;47,2100;2,8540;20,6207;47,2100;20,6207
44,5078;2,8813;46,1600;2,8802;18,2000;46,1600;18,2000
45,4164;2,8450;47,9900;2,8411;21,0276;47,9900;21,0276
45,9894;2,8232;49,5400;2,7899;20,8069;49,5400;20,8069
46,8730;2,7840;49,4800;2,7489;23,3586;49,4800;23,3586
47,7114;2,7597;48,7600;2,8168;19,6759;48,7600;19,6759
48,2384;2,7367;51,0300;2,7038;23,0759;51,0300;23,0759
48,8765;2,7069;52,5500;2,6644;23,4897;52,5500;23,4897
49,7881;2,6726;53,5800;2,6276;25,2138;53,5800;25,2138
50,4483;2,6414;53,4900;2,6267;22,8966;53,4900;22,8966
51,1215;2,6215;52,8200;2,6518;24,5379;52,8200;24,5379
51,7135;2,5964;54,3700;2,5822;24,8966;54,3700;24,8966
52,4468;2,5759;54,2000;2,5810;27,1655;54,2000;27,1655
53,0148;2,5488;56,0100;2,5217;26,5793;56,0100;26,5793
53,5348;2,5252;56,0600;2,5557;25,8207;56,0600;25,8207
53,9765;2,5078;57,1000;2,5016;26,6483;57,1000;26,6483
55,0374;2,4762;57,9400;2,4694;26,7034;57,9400;26,7034
55,7296;2,4483;59,1200;2,4279;29,3310;59,1200;29,3310
56,2235;2,4298;58,3600;2,4582;29,0690;58,3600;29,0690
56,6212;2,4157;59,0600;2,3935;29,8690;59,0600;29,8690
57,5479;2,3866;60,1700;2,3824;28,4276;60,1700;28,4276
57,9947;2,3661;60,5300;2,3496;30,5103;60,5300;30,5103
58,5647;2,3430;60,4900;2,3908;29,8828;60,4900;29,8828
59,3090;2,3197;61,4800;2,3213;31,1586;61,4800;31,1586
59,4112;2,3096;62,6500;2,3076;30,5724;62,6500;30,5724
59,9782;2,2889;62,8300;2,2962;31,6000;62,8300;31,6000
60,5482;2,2667;63,2500;2,2730;32,0966;63,2500;32,0966
61,0651;2,2514;64,2700;2,2532;32,3379;64,2700;32,3379
61,7573;2,2326;63,7200;2,2557;33,6414;63,7200;33,6414
62,0799;2,2124;64,8700;2,2244;33,7379;64,8700;33,7379
62,3083;2,2028;64,9100;2,2190;33,8345;64,9100;33,8345
62,6910;2,1921;65,1500;2,2250;33,7241;65,1500;33,7241
62,7230;2,1860;65,3100;2,2030;34,2483;65,3100;34,2483
63,4022;2,1694;65,5300;2,2049;34,1172;65,5300;34,1172
63,3852;2,1668;65,7300;2,2001;34,1655;65,7300;34,1655
63,4463;2,1661;66,0400;2,1934;34,3724;66,0400;34,3724
63,6587;2,1602;65,6000;2,1946;34,4759;65,6000;34,4759
52,5490;2,5581;51,8800;2,6681;22,4000;51,8800;22,4000
51,6584;2,5927;53,0200;2,6168;24,9724;53,0200;24,9724
51,8307;2,5887;54,2800;2,5944;26,2828;54,2800;26,2828
52,5190;2,5715;51,6200;2,7322;24,0897;51,6200;24,0897
52,3166;2,5661;53,1600;2,6321;24,0414;53,1600;24,0414
53,0048;2,5489;54,9300;2,5529;25,5172;54,9300;25,5172
53,2963;2,5392;53,7500;2,5752;24,0069;53,7500;24,0069
53,1771;2,5370;55,8400;2,5070;24,8621;55,8400;24,8621
53,8413;2,5156;55,0000;2,5855;26,0000;55,0000;26,0000
54,0046;2,5047;55,8200;2,5338;26,0897;55,8200;26,0897
54,4233;2,4942;55,3200;2,5454;28,1172;55,3200;28,1172
54,6267;2,4868;56,0900;2,5162;26,7793;56,0900;26,7793
54,4494;2,4828;56,5200;2,5161;26,2207;56,5200;26,2207
55,3810;2,4594;55,3300;2,5321;26,6690;55,3300;26,6690
