;config_126_avg
Standard_Acc;59,0350
RMSCE;0,0758
gaussian_noise;37,5000
shot_noise;39,5000
impulse_noise;33,1000
defocus_blur;30,9000
glass_blur;21,4000
motion_blur;39,9000
zoom_blur;34,2000
snow;47,3000
frost;48,5000
fog;41,7000
brightness;47,4000
contrast;16,0000
elastic_transform;49,8000
pixelate;54,4000
jpeg_compression;53,9000
speckle_noise;31,5000
gaussian_blur;22,4000
spatter;47,0000
saturate;40,9000
blue_noise_sample;32,0000
brownish_noise;38,6000
caustic_refraction;27,8000
checkerboard_cutout;33,4000
cocentric_sine_waves;28,5000
inverse_sparkles;23,1000
perlin_noise;46,5000
plasma_noise;17,4000
single_frequency_greyscale;22,8000
sparkles;48,9000
Acc_C-all-19;38,8053
Acc_C-original-15;39,7000
Acc_C-bar-10;31,9000
Acc_all-ex-pixelwise-noise-24;36,7792
RMSCE_C;0,2080
Combined_Noise;52,5750
