;config_487_avg
Standard_Acc;72,7200
RMSCE;0,0216
gaussian_noise;39,7240
shot_noise;43,4480
impulse_noise;47,6320
defocus_blur;46,9520
glass_blur;37,5320
motion_blur;52,1920
zoom_blur;49,2720
snow;48,1960
frost;52,2940
fog;53,6860
brightness;59,8060
contrast;39,0260
elastic_transform;54,9500
pixelate;58,9500
jpeg_compression;58,6360
speckle_noise;38,2220
gaussian_blur;49,8660
spatter;51,4180
saturate;54,9160
blue_noise_sample;60,0740
brownish_noise;57,4280
caustic_refraction;35,8660
checkerboard_cutout;48,4180
cocentric_sine_waves;31,2960
inverse_sparkles;27,8500
perlin_noise;60,1420
plasma_noise;35,3100
single_frequency_greyscale;26,7600
sparkles;64,3100
Acc_C-all-19;49,3009
Acc_C-original-15;49,4864
Acc_C-bar-10;44,7454
Acc_all-ex-pixelwise-noise-24;48,1280
RMSCE_C;0,1081
Combined_Noise;70,8900
