;config_124_avg
Standard_Acc;57,4500
RMSCE;0,0783
gaussian_noise;27,4000
shot_noise;30,6000
impulse_noise;24,7000
defocus_blur;26,5000
glass_blur;16,2000
motion_blur;33,7000
zoom_blur;28,9000
snow;40,1000
frost;41,6000
fog;34,7000
brightness;43,0000
contrast;13,4000
elastic_transform;47,4000
pixelate;52,5000
jpeg_compression;51,5000
speckle_noise;24,3000
gaussian_blur;19,5000
spatter;42,0000
saturate;36,4000
blue_noise_sample;26,3000
brownish_noise;36,5000
caustic_refraction;26,3000
checkerboard_cutout;27,7000
cocentric_sine_waves;23,5000
inverse_sparkles;24,0000
perlin_noise;41,1000
plasma_noise;15,2000
single_frequency_greyscale;19,6000
sparkles;49,1000
Acc_C-all-19;33,3895
Acc_C-original-15;34,1467
Acc_C-bar-10;28,9300
Acc_all-ex-pixelwise-noise-24;32,9333
RMSCE_C;0,2277
Combined_Noise;48,7150
