;config_129_avg
Standard_Acc;60,0400
RMSCE;0,0624
gaussian_noise;40,5000
shot_noise;39,6000
impulse_noise;33,6000
defocus_blur;40,5000
glass_blur;30,0000
motion_blur;49,4000
zoom_blur;37,8000
snow;51,1000
frost;54,3000
fog;48,4000
brightness;49,0000
contrast;33,1000
elastic_transform;54,4000
pixelate;57,1000
jpeg_compression;55,4000
speckle_noise;35,2000
gaussian_blur;34,9000
spatter;47,6000
saturate;45,1000
blue_noise_sample;35,3000
brownish_noise;44,1000
caustic_refraction;32,5000
checkerboard_cutout;29,9000
cocentric_sine_waves;35,3000
inverse_sparkles;24,7000
perlin_noise;51,6000
plasma_noise;20,5000
single_frequency_greyscale;30,1000
sparkles;50,2000
Acc_C-all-19;44,0526
Acc_C-original-15;44,9467
Acc_C-bar-10;35,4200
Acc_all-ex-pixelwise-noise-24;41,9583
RMSCE_C;0,1520
Combined_Noise;49,1050
