;config_11_avg
Standard_Acc;70,1500
RMSCE;0,0147
gaussian_noise;31,9400
shot_noise;36,6280
impulse_noise;33,9880
defocus_blur;43,5720
glass_blur;37,4540
motion_blur;51,4560
zoom_blur;46,5100
snow;47,4240
frost;50,2340
fog;51,5920
brightness;57,6520
contrast;39,8160
elastic_transform;53,3920
pixelate;57,1380
jpeg_compression;55,8260
speckle_noise;29,8780
gaussian_blur;46,4700
spatter;47,6680
saturate;52,3720
blue_noise_sample;51,1940
brownish_noise;52,8080
caustic_refraction;35,4560
checkerboard_cutout;44,4680
cocentric_sine_waves;30,2540
inverse_sparkles;25,6220
perlin_noise;58,4520
plasma_noise;30,6560
single_frequency_greyscale;27,7580
sparkles;62,0220
Acc_C-all-19;45,8426
Acc_C-original-15;46,3081
Acc_C-bar-10;41,8690
Acc_all-ex-pixelwise-noise-24;46,0863
RMSCE_C;0,1066
Combined_Noise;64,0300
