;config_140_avg
Standard_Acc;72,4650
RMSCE;0,0429
gaussian_noise;16,8000
shot_noise;17,0000
impulse_noise;17,4000
defocus_blur;33,0000
glass_blur;15,6000
motion_blur;41,4000
zoom_blur;30,2000
snow;50,6000
frost;55,8000
fog;50,8000
brightness;56,4000
contrast;21,8000
elastic_transform;56,8000
pixelate;55,0000
jpeg_compression;63,4000
speckle_noise;10,0000
gaussian_blur;23,8000
spatter;55,4000
saturate;48,8000
blue_noise_sample;34,6000
brownish_noise;52,0000
caustic_refraction;34,8000
checkerboard_cutout;39,4000
cocentric_sine_waves;27,6000
inverse_sparkles;27,4000
perlin_noise;52,8000
plasma_noise;18,0000
single_frequency_greyscale;22,0000
sparkles;65,0000
Acc_C-all-19;37,8947
Acc_C-original-15;38,8000
Acc_C-bar-10;37,3600
Acc_all-ex-pixelwise-noise-24;41,5750
RMSCE_C;0,2140
Combined_Noise;50,9850
