;config_468_avg;config_468_std;config_468_run_0;config_468_run_1;config_468_run_2;config_468_run_3;config_468_run_4
Standard_Acc;82,5160;0,1990;82,2200;82,3800;82,8000;82,6000;82,5800
RMSCE;0,0241;0,0042;0,0202;0,0278;0,0198;0,0221;0,0302
gaussian_noise;60,8600;1,7850;60,5000;60,2000;62,2000;63,3000;58,1000
shot_noise;64,3200;2,1526;64,2000;64,3000;67,7000;64,5000;60,9000
impulse_noise;64,4000;0,9143;65,2000;63,0000;63,8000;65,5000;64,5000
defocus_blur;77,1200;0,3487;77,3000;76,7000;77,5000;76,7000;77,4000
glass_blur;64,3000;1,8352;64,8000;62,7000;64,4000;67,4000;62,2000
motion_blur;73,0400;0,9831;73,0000;73,5000;74,3000;73,1000;71,3000
zoom_blur;74,8800;1,2319;74,2000;74,9000;75,4000;73,1000;76,8000
snow;70,8000;1,4000;70,1000;70,8000;72,9000;71,5000;68,7000
frost;75,4800;1,9177;74,0000;74,0000;76,3000;78,9000;74,2000
fog;75,2400;1,4935;74,0000;73,7000;76,5000;77,5000;74,5000
brightness;80,8000;0,5899;79,8000;80,7000;80,8000;81,6000;81,1000
contrast;77,2400;0,9562;76,6000;78,5000;76,0000;78,2000;76,9000
elastic_transform;71,6000;0,5831;72,1000;71,9000;72,2000;71,0000;70,8000
pixelate;66,9400;2,3027;66,0000;66,8000;69,4000;69,3000;63,2000
jpeg_compression;60,3400;1,7984;60,2000;59,3000;60,6000;63,5000;58,1000
speckle_noise;64,7200;2,3241;67,8000;61,3000;65,5000;66,1000;62,9000
gaussian_blur;71,1000;1,7743;71,9000;68,1000;73,5000;71,4000;70,6000
spatter;76,3400;1,3937;75,6000;76,3000;77,4000;78,2000;74,2000
saturate;76,9400;1,3425;77,4000;75,5000;77,7000;78,8000;75,3000
blue_noise;66,2800;1,5587;67,8000;64,7000;67,2000;67,6000;64,1000
brownish_noise;43,0400;1,6548;44,1000;41,0000;45,6000;41,7000;42,8000
checkerboard_cutout;68,2600;0,5607;67,5000;68,1000;69,0000;67,9000;68,8000
circular_motion_blur;74,5800;1,6437;75,9000;73,3000;76,8000;72,3000;74,6000
inverse_sparkles;43,6800;1,9610;41,2000;44,4000;42,5000;47,0000;43,3000
lines;55,2000;1,7123;52,4000;55,0000;57,7000;55,9000;55,0000
pinch_and_twirl;76,0600;0,8114;74,7000;77,0000;76,2000;76,7000;75,7000
ripple;66,6800;1,2221;68,8000;66,7000;66,6000;66,3000;65,0000
sparkles;68,1000;1,5646;66,0000;69,9000;68,0000;69,8000;66,8000
transverse_chromatic_abberation;52,2200;2,8799;52,7000;49,5000;53,3000;56,8000;48,8000
Acc_C-all-19;70,8663;0,9608;70,7737;70,1158;71,7947;72,0842;69,5632
Acc_C-original-15;70,4907;0,8904;70,1333;70,0667;71,3333;71,6733;69,2467
Acc_C-bar-10;61,4100;0,7124;61,1100;60,9600;62,2900;62,2000;60,4900
Acc_all-ex-pixelwise-noise-24;68,3325;0,7975;67,9292;67,8458;69,1917;69,3583;67,3375
RMSCE_C;0,0777;0,0018;0,0761;0,0757;0,0768;0,0800;0,0797
Combined_Noise;69,9020;0,9785;70,3600;68,8300;70,0900;71,4000;68,8300
