;config_471_avg;config_471_std;config_471_run_0;config_471_run_1;config_471_run_2;config_471_run_3;config_471_run_4
Standard_Acc;82,6380;0,1402;82,4700;82,8000;82,5700;82,8100;82,5400
RMSCE;0,0199;0,0015;0,0206;0,0221;0,0184;0,0206;0,0181
gaussian_noise;60,4600;1,6740;59,5000;62,5000;62,3000;59,8000;58,2000
shot_noise;65,0600;2,6560;66,4000;65,7000;69,0000;62,0000;62,2000
impulse_noise;63,3000;1,3236;65,3000;61,2000;63,2000;63,8000;63,0000
defocus_blur;76,8200;0,8727;75,7000;76,3000;77,1000;78,3000;76,7000
glass_blur;65,9600;1,5907;66,6000;63,8000;66,0000;68,5000;64,9000
motion_blur;73,3800;0,9108;73,6000;74,9000;73,5000;72,6000;72,3000
zoom_blur;74,8800;1,4634;73,9000;76,0000;74,6000;72,9000;77,0000
snow;70,8400;1,2027;69,6000;71,6000;72,8000;69,8000;70,4000
frost;75,9200;1,8595;74,1000;74,1000;78,0000;78,3000;75,1000
fog;76,0600;1,4207;74,5000;74,3000;77,5000;77,6000;76,4000
brightness;80,4400;0,5748;79,8000;79,7000;80,8000;81,1000;80,8000
contrast;76,8400;0,5238;76,2000;77,0000;76,9000;77,7000;76,4000
elastic_transform;72,1200;0,5492;72,2000;71,9000;73,0000;72,2000;71,3000
pixelate;68,8400;1,7374;70,7000;68,8000;69,8000;69,3000;65,6000
jpeg_compression;62,6400;1,3245;64,1000;61,4000;61,5000;64,4000;61,8000
speckle_noise;64,7800;2,7199;69,5000;62,4000;64,0000;65,9000;62,1000
gaussian_blur;69,5200;2,5159;69,3000;65,5000;72,9000;71,3000;68,6000
spatter;75,7000;1,3282;74,8000;75,8000;76,9000;77,3000;73,7000
saturate;76,9400;1,3764;77,7000;75,4000;78,6000;77,8000;75,2000
blue_noise;62,5400;1,3603;63,1000;60,1000;62,2000;63,2000;64,1000
brownish_noise;43,4200;2,5748;42,5000;40,1000;48,0000;42,9000;43,6000
checkerboard_cutout;67,4400;1,2076;65,5000;67,9000;69,2000;67,6000;67,0000
circular_motion_blur;74,8200;1,0147;75,4000;75,0000;76,3000;73,5000;73,9000
inverse_sparkles;44,9600;1,9520;42,4000;44,7000;44,2000;48,4000;45,1000
lines;56,1200;2,2807;54,9000;54,7000;60,5000;54,3000;56,2000
pinch_and_twirl;76,0800;1,0284;74,7000;77,7000;76,4000;75,3000;76,3000
ripple;66,2800;1,5905;68,5000;64,9000;67,8000;65,7000;64,5000
sparkles;67,3200;1,3121;66,7000;67,9000;66,9000;69,5000;65,6000
transverse_chromatic_abberation;53,0600;2,8689;54,0000;48,0000;55,9000;55,4000;52,0000
Acc_C-all-19;71,0789;0,7192;71,2368;70,4368;72,0211;71,6105;70,0895
Acc_C-original-15;70,9040;0,5411;70,8133;70,6133;71,7333;71,2200;70,1400
Acc_C-bar-10;61,2040;0,8997;60,7700;60,1000;62,7400;61,5800;60,8300
Acc_all-ex-pixelwise-noise-24;68,6000;0,7808;68,2250;67,8083;69,7958;69,2375;67,9333
RMSCE_C;0,0752;0,0039;0,0762;0,0793;0,0711;0,0703;0,0791
Combined_Noise;70,0380;0,6881;70,0400;69,9800;70,9000;70,4400;68,8300
