;config_488_avg
Standard_Acc;80,8700
RMSCE;0,0200
gaussian_noise;58,1660
shot_noise;62,1320
impulse_noise;67,6120
defocus_blur;75,6140
glass_blur;61,9180
motion_blur;70,5880
zoom_blur;73,4380
snow;72,2800
frost;69,5080
fog;74,3800
brightness;79,3780
contrast;75,2760
elastic_transform;71,2720
pixelate;57,5140
jpeg_compression;56,3240
speckle_noise;63,0700
gaussian_blur;72,5480
spatter;76,2500
saturate;75,1000
blue_noise;68,7560
brownish_noise;47,8240
checkerboard_cutout;73,3360
circular_motion_blur;77,4360
inverse_sparkles;47,9040
lines;60,3060
pinch_and_twirl;74,6020
ripple;65,1420
sparkles;69,4100
transverse_chromatic_abberation;49,2760
Acc_C-all-19;69,0720
Acc_C-original-15;68,3600
Acc_C-bar-10;63,3992
Acc_all-ex-pixelwise-noise-24;67,7760
RMSCE_C;0,0469
Combined_Noise;70,2100
