;config_470_avg;config_470_std;config_470_run_0;config_470_run_1;config_470_run_2;config_470_run_3;config_470_run_4
Standard_Acc;82,8840;0,2629;82,9300;83,0700;83,2300;82,4900;82,7000
RMSCE;0,0239;0,0059;0,0205;0,0293;0,0256;0,0300;0,0142
gaussian_noise;60,3400;1,4975;59,3000;61,4000;61,8000;61,3000;57,9000
shot_noise;65,2400;1,5882;64,7000;64,9000;68,2000;63,4000;65,0000
impulse_noise;64,4000;2,2423;66,9000;65,0000;60,8000;63,0000;66,3000
defocus_blur;77,3600;1,0249;76,4000;77,9000;76,2000;79,0000;77,3000
glass_blur;64,3800;1,2496;64,3000;64,3000;63,5000;66,7000;63,1000
motion_blur;73,5600;1,4037;72,6000;76,0000;74,2000;72,9000;72,1000
zoom_blur;75,7400;1,5396;74,6000;77,3000;74,7000;74,2000;77,9000
snow;71,1400;1,4596;68,5000;72,6000;72,1000;70,7000;71,8000
frost;75,6000;2,0976;73,0000;73,8000;77,6000;78,4000;75,2000
fog;76,3600;0,5463;75,9000;75,6000;76,4000;77,0000;76,9000
brightness;80,6000;0,8050;79,8000;79,7000;80,9000;81,9000;80,7000
contrast;77,7600;0,9457;77,5000;77,5000;76,4000;79,3000;78,1000
elastic_transform;71,8600;1,1586;72,5000;72,8000;72,4000;72,0000;69,6000
pixelate;68,8800;1,0342;70,2000;68,6000;69,7000;68,7000;67,2000
jpeg_compression;61,4600;1,4235;62,8000;61,1000;60,7000;63,3000;59,4000
speckle_noise;65,4600;2,0655;68,2000;62,1000;64,8000;66,9000;65,3000
gaussian_blur;69,7200;1,8541;68,0000;68,6000;71,5000;72,4000;68,1000
spatter;76,2200;1,3242;76,6000;76,8000;76,9000;77,2000;73,6000
saturate;77,4600;0,9932;76,9000;76,3000;79,2000;77,8000;77,1000
blue_noise;63,0800;2,1311;63,4000;59,8000;62,7000;63,0000;66,5000
brownish_noise;43,1600;1,9158;41,3000;41,5000;46,3000;44,4000;42,3000
checkerboard_cutout;67,9200;0,9988;67,2000;66,3000;68,8000;68,6000;68,7000
circular_motion_blur;74,8800;0,9745;75,3000;74,8000;76,5000;74,0000;73,8000
inverse_sparkles;45,0200;2,5717;41,7000;45,6000;43,9000;49,5000;44,4000
lines;55,6000;2,4257;53,6000;54,0000;60,1000;56,2000;54,1000
pinch_and_twirl;75,7800;1,0008;74,0000;76,0000;75,5000;76,8000;76,6000
ripple;66,1800;0,7574;67,4000;66,0000;66,5000;65,9000;65,1000
sparkles;67,7800;1,5065;65,6000;68,3000;67,7000;70,2000;67,1000
transverse_chromatic_abberation;53,0600;2,2739;52,7000;50,5000;53,8000;57,0000;51,3000
Acc_C-all-19;71,2389;0,4226;70,9842;71,1737;71,4737;71,9000;70,6632
Acc_C-original-15;70,9787;0,3484;70,6000;71,2333;71,0400;71,4533;70,5667
Acc_C-bar-10;61,2460;0,9644;60,2200;60,2800;62,1800;62,5600;60,9900
Acc_all-ex-pixelwise-noise-24;68,6450;0,7350;67,8500;68,4125;69,2292;69,7542;67,9792
RMSCE_C;0,0753;0,0057;0,0701;0,0719;0,0757;0,0726;0,0862
Combined_Noise;70,3200;0,5722;69,7600;70,0600;70,3100;71,4100;70,0600
