;config_553_avg;config_553_std;config_553_run_0;config_553_run_1;config_553_run_2;config_553_run_3;config_553_run_4
Standard_Acc;82,8420;0,2808;82,6800;82,9400;82,4700;83,3100;82,8100
RMSCE;0,0185;0,0017;0,0215;0,0190;0,0174;0,0179;0,0167
gaussian_noise;61,7200;1,3288;61,7000;63,0000;62,5000;62,2000;59,2000
shot_noise;65,1000;1,8547;63,5000;65,5000;68,5000;63,5000;64,5000
impulse_noise;65,0000;1,4846;65,7000;64,2000;63,7000;63,8000;67,6000
defocus_blur;77,5200;1,3348;77,4000;77,8000;75,1000;79,1000;78,2000
glass_blur;64,9400;1,1164;65,4000;65,2000;64,7000;66,4000;63,0000
motion_blur;74,5400;1,3749;73,0000;77,0000;74,1000;73,7000;74,9000
zoom_blur;75,0200;1,7337;73,2000;76,5000;75,8000;72,7000;76,9000
snow;72,1400;0,8777;71,0000;73,3000;73,0000;71,5000;71,9000
frost;75,9200;2,0932;73,8000;73,7000;77,9000;78,8000;75,4000
fog;76,4200;0,8841;75,7000;75,7000;75,7000;77,4000;77,6000
brightness;81,0400;1,2355;80,5000;79,3000;81,0000;83,1000;81,3000
contrast;78,2600;0,9521;78,7000;78,5000;76,4000;79,1000;78,6000
elastic_transform;71,8800;0,8542;73,2000;71,9000;72,3000;71,3000;70,7000
pixelate;69,0400;1,4444;70,8000;70,8000;68,0000;67,6000;68,0000
jpeg_compression;61,7000;1,5773;63,0000;63,7000;59,2000;61,0000;61,6000
speckle_noise;64,8400;2,1832;68,2000;61,3000;64,9000;64,9000;64,9000
gaussian_blur;70,8600;1,5513;71,3000;69,7000;72,1000;72,7000;68,5000
spatter;76,0000;1,0450;75,6000;75,7000;77,1000;77,2000;74,4000
saturate;77,4400;0,7889;78,7000;76,8000;77,3000;77,9000;76,5000
blue_noise;64,4800;1,3136;64,3000;62,0000;65,3000;65,2000;65,6000
brownish_noise;42,7200;2,4285;40,1000;40,6000;46,9000;42,5000;43,5000
checkerboard_cutout;68,0800;0,5845;67,2000;68,9000;67,8000;68,5000;68,0000
circular_motion_blur;75,2000;0,4427;76,0000;74,8000;75,3000;75,1000;74,8000
inverse_sparkles;45,2400;1,2690;44,7000;45,4000;43,3000;47,2000;45,6000
lines;55,9800;1,2828;56,3000;54,2000;58,0000;56,3000;55,1000
pinch_and_twirl;75,3600;0,9222;73,6000;75,5000;75,5000;76,2000;76,0000
ripple;67,1000;1,9131;70,0000;67,9000;67,6000;65,3000;64,7000
sparkles;68,5600;1,3124;66,6000;70,3000;68,9000;69,4000;67,6000
transverse_chromatic_abberation;53,7400;1,3200;52,8000;52,2000;54,7000;55,8000;53,2000
Acc_C-all-19;71,5463;0,1726;71,6000;71,5579;71,5421;71,7842;71,2474
Acc_C-original-15;71,3493;0,2205;71,1067;71,7400;71,1933;71,4133;71,2933
Acc_C-bar-10;61,6460;0,4962;61,1600;61,1800;62,3300;62,1500;61,4100
Acc_all-ex-pixelwise-noise-24;68,9458;0,2920;68,6917;68,9750;69,0708;69,4083;68,5833
RMSCE_C;0,0774;0,0065;0,0702;0,0817;0,0692;0,0854;0,0805
Combined_Noise;70,2540;0,5416;69,8200;69,5000;70,5300;71,0400;70,3800
