;config_467_avg;config_467_std;config_467_run_0;config_467_run_1;config_467_run_2;config_467_run_3;config_467_run_4
Standard_Acc;81,8080;0,2216;81,8700;81,6000;81,5000;82,0500;82,0200
RMSCE;0,0229;0,0021;0,0221;0,0262;0,0200;0,0221;0,0240
gaussian_noise;59,5800;1,0907;57,9000;58,7000;60,6000;60,6000;60,1000
shot_noise;63,1200;1,6191;63,3000;62,2000;66,2000;62,0000;61,9000
impulse_noise;65,1400;0,9351;65,6000;63,5000;66,3000;65,4000;64,9000
defocus_blur;76,2800;1,3090;76,3000;76,6000;73,9000;76,7000;77,9000
glass_blur;64,3800;1,3288;64,7000;63,4000;64,7000;66,5000;62,6000
motion_blur;72,3600;1,0557;71,6000;74,2000;72,4000;72,5000;71,1000
zoom_blur;74,4400;1,8832;73,8000;74,0000;72,7000;73,6000;78,1000
snow;70,5800;1,3703;69,9000;71,2000;72,3000;71,2000;68,3000
frost;75,4200;2,3121;73,0000;73,1000;77,0000;79,0000;75,0000
fog;75,1600;1,6107;74,0000;72,7000;75,5000;77,0000;76,6000
brightness;80,2400;0,7579;80,1000;79,3000;79,6000;80,9000;81,3000
contrast;76,6600;1,4800;75,8000;75,8000;74,9000;78,0000;78,8000
elastic_transform;71,3600;0,8546;70,5000;72,3000;72,4000;71,2000;70,4000
pixelate;65,3600;2,3703;63,4000;63,4000;68,6000;67,9000;63,5000
jpeg_compression;60,1000;1,6137;61,4000;59,3000;60,5000;61,9000;57,4000
speckle_noise;64,0800;1,9954;65,4000;60,3000;64,5000;66,0000;64,2000
gaussian_blur;69,9000;1,1009;69,1000;68,5000;71,5000;70,8000;69,6000
spatter;74,6600;1,5667;74,1000;73,1000;75,5000;77,3000;73,3000
saturate;75,8000;1,0545;76,3000;73,7000;76,3000;76,2000;76,5000
blue_noise;63,8400;2,0558;63,8000;59,9000;65,1000;65,6000;64,8000
brownish_noise;41,6400;1,9916;41,3000;38,3000;42,2000;44,5000;41,9000
checkerboard_cutout;66,6800;1,2875;65,9000;65,5000;65,6000;67,7000;68,7000
circular_motion_blur;74,3000;1,1189;75,7000;73,6000;75,4000;72,7000;74,1000
inverse_sparkles;44,2600;2,2870;44,1000;41,4000;44,8000;48,2000;42,8000
lines;54,2800;2,0999;55,6000;51,6000;57,2000;54,8000;52,2000
pinch_and_twirl;74,8400;1,4881;72,5000;75,7000;73,7000;76,4000;75,9000
ripple;65,2400;1,0707;63,9000;64,8000;66,0000;66,9000;64,6000
sparkles;67,3000;2,2325;64,6000;70,2000;66,2000;69,7000;65,8000
transverse_chromatic_abberation;51,0800;1,7554;50,0000;48,7000;50,5000;53,3000;52,9000
Acc_C-all-19;70,2432;0,7343;69,8000;69,2263;70,8105;71,3000;70,0789
Acc_C-original-15;70,0120;0,6333;69,4200;69,3133;70,5067;70,9600;69,8600
Acc_C-bar-10;60,3460;1,0036;59,7400;58,9700;60,6700;61,9800;60,3700
Acc_all-ex-pixelwise-noise-24;67,5967;0,7945;66,9833;66,6833;67,8917;68,9542;67,4708
RMSCE_C;0,0807;0,0049;0,0823;0,0889;0,0785;0,0739;0,0800
Combined_Noise;69,4780;0,6787;69,4700;68,4100;70,1400;70,2500;69,1200
