;config_545_avg
Standard_Acc;81,9700
RMSCE;0,0277
gaussian_noise;61,8140
shot_noise;65,9020
impulse_noise;64,7400
defocus_blur;76,6540
glass_blur;64,3160
motion_blur;72,2740
zoom_blur;73,7180
snow;72,5420
frost;72,8200
fog;76,0560
brightness;80,2940
contrast;76,5200
elastic_transform;72,5520
pixelate;70,7520
jpeg_compression;61,9580
speckle_noise;66,6440
gaussian_blur;74,0020
spatter;75,1020
saturate;76,1080
blue_noise;64,5600
brownish_noise;43,5560
checkerboard_cutout;67,7380
circular_motion_blur;75,6980
inverse_sparkles;45,9500
lines;56,4060
pinch_and_twirl;75,7680
ripple;65,5700
sparkles;68,2940
transverse_chromatic_abberation;53,6020
Acc_C-all-19;71,3036
Acc_C-original-15;70,8608
Acc_C-bar-10;61,7142
Acc_all-ex-pixelwise-noise-24;68,6771
RMSCE_C;0,0559
Combined_Noise;70,7900
