;config_469_avg;config_469_std;config_469_run_0;config_469_run_1;config_469_run_2;config_469_run_3;config_469_run_4
Standard_Acc;82,7040;0,2096;82,4100;82,5600;82,7600;82,7600;83,0300
RMSCE;0,0212;0,0030;0,0186;0,0219;0,0186;0,0266;0,0202
gaussian_noise;61,4800;1,3948;60,4000;61,6000;64,0000;61,4000;60,0000
shot_noise;65,5400;1,6243;64,6000;67,2000;67,6000;63,3000;65,0000
impulse_noise;65,9200;1,1479;66,4000;65,5000;63,9000;67,2000;66,6000
defocus_blur;77,8200;0,7574;77,7000;77,4000;77,5000;79,3000;77,2000
glass_blur;65,1000;0,9654;63,7000;64,9000;65,6000;66,6000;64,7000
motion_blur;73,7200;1,6216;72,3000;76,3000;74,6000;73,6000;71,8000
zoom_blur;74,8600;1,4935;74,0000;76,8000;74,8000;72,6000;76,1000
snow;70,8400;1,1859;69,7000;71,1000;73,0000;69,9000;70,5000
frost;75,9800;2,1075;73,7000;73,5000;78,5000;78,1000;76,1000
fog;76,3400;1,0613;75,4000;74,8000;76,7000;77,4000;77,4000
brightness;80,7200;0,8232;80,7000;79,2000;80,8000;81,5000;81,4000
contrast;78,0200;0,4578;78,0000;77,8000;77,4000;78,8000;78,1000
elastic_transform;71,7200;1,8946;71,9000;72,7000;74,6000;70,2000;69,2000
pixelate;67,5600;0,9749;68,0000;67,4000;67,4000;69,0000;66,0000
jpeg_compression;60,7800;1,7577;59,9000;59,2000;60,4000;64,2000;60,2000
speckle_noise;65,0200;2,0341;67,6000;62,0000;66,8000;65,0000;63,7000
gaussian_blur;70,2200;1,4662;70,0000;69,9000;72,9000;69,9000;68,4000
spatter;75,6800;1,9395;73,9000;74,5000;77,1000;78,8000;74,1000
saturate;76,9600;1,2339;78,0000;75,5000;77,9000;78,0000;75,4000
blue_noise;63,2000;1,3784;62,1000;61,8000;62,5000;64,2000;65,4000
brownish_noise;42,7000;1,7378;42,5000;40,1000;44,8000;44,4000;41,7000
checkerboard_cutout;67,5400;1,1808;65,6000;67,9000;67,9000;67,1000;69,2000
circular_motion_blur;75,1600;1,1164;76,1000;75,4000;76,5000;73,5000;74,3000
inverse_sparkles;44,0600;2,4824;39,8000;45,9000;43,1000;46,9000;44,6000
lines;55,7800;2,2631;54,2000;53,2000;59,6000;56,9000;55,0000
pinch_and_twirl;75,0200;1,3167;72,7000;75,6000;74,8000;75,3000;76,7000
ripple;66,5200;0,5845;66,8000;66,1000;66,6000;67,4000;65,7000
sparkles;67,5200;2,0615;64,3000;70,1000;67,4000;69,3000;66,5000
transverse_chromatic_abberation;52,3200;1,5664;51,9000;50,2000;54,8000;51,5000;53,2000
Acc_C-all-19;71,2779;0,6135;70,8368;70,9105;72,1842;71,8316;70,6263
Acc_C-original-15;71,0933;0,5088;70,4267;71,0267;71,7867;71,5400;70,6867
Acc_C-bar-10;60,9820;0,8013;59,6000;60,6300;61,8000;61,6500;61,2300
Acc_all-ex-pixelwise-noise-24;68,4558;0,6987;67,5333;68,1458;69,3625;69,1750;68,0625
RMSCE_C;0,0795;0,0047;0,0865;0,0827;0,0733;0,0785;0,0763
Combined_Noise;70,2620;0,3678;70,1500;70,1100;70,7100;70,6300;69,7100
