;config_596_avg
Standard_Acc;80,3000
RMSCE;0,0501
gaussian_noise;69,8900
shot_noise;72,4740
impulse_noise;78,4060
defocus_blur;72,9240
glass_blur;64,2200
motion_blur;67,8060
zoom_blur;70,8560
snow;70,4280
frost;71,8440
fog;68,2820
brightness;78,3060
contrast;69,4000
elastic_transform;70,9780
pixelate;72,4320
jpeg_compression;69,2420
speckle_noise;72,6940
gaussian_blur;69,9560
spatter;73,0220
saturate;72,2080
blue_noise;59,6520
brownish_noise;42,0040
checkerboard_cutout;65,0820
circular_motion_blur;75,0140
inverse_sparkles;44,5200
lines;56,5340
pinch_and_twirl;75,1360
ripple;69,2800
sparkles;65,9480
transverse_chromatic_abberation;48,2000
Acc_C-all-19;71,3352
Acc_C-original-15;71,1659
Acc_C-bar-10;60,1370
Acc_all-ex-pixelwise-noise-24;66,8176
RMSCE_C;0,0932
Adversarial_accuracy_autoattack;0,0780
Combined_Noise;75,1000
