;config_12_avg
Standard_Acc;81,6300
RMSCE;0,0182
gaussian_noise;42,1900
shot_noise;50,8500
impulse_noise;63,6700
defocus_blur;76,2560
glass_blur;47,6100
motion_blur;67,7560
zoom_blur;73,1480
snow;68,4260
frost;61,9280
fog;73,1060
brightness;80,2240
contrast;76,1440
elastic_transform;69,7260
pixelate;58,1140
jpeg_compression;55,4220
speckle_noise;52,6300
gaussian_blur;74,4560
spatter;74,1860
saturate;74,6660
blue_noise;66,4100
brownish_noise;41,6740
checkerboard_cutout;66,7760
circular_motion_blur;75,2940
inverse_sparkles;37,2580
lines;51,5420
pinch_and_twirl;73,4240
ripple;62,4300
sparkles;65,1080
transverse_chromatic_abberation;44,8700
Acc_C-all-19;65,2899
Acc_C-original-15;64,3047
Acc_C-bar-10;58,4786
Acc_all-ex-pixelwise-noise-24;64,5643
RMSCE_C;0,0809
Combined_Noise;63,2500
